regime,undefined_policy,law,mean_repeats,dataset,threshold,zipf_exponent,lognormal_sigma,geometric_tail,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
finch,skip,zipf,1.0,0,0.5,1.0,0.5,0.05,0.9267604144047482,0,-1.040069480192575,37.0,0.5965919588117589,13.186666666666667,13880,30,0.5883952971322113,0.01808139304218902,18.71344295669228,0.004975124378109453,0.007833333333333333,0,0.8328371781103258,0.005614579953215443,16.72845289889105,0.004975124378109453,0.0,0,0.8642413036094845,0.008350719188991303,7.4866738277683025,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,1,0.5,1.0,0.5,0.05,0.9079371979531976,0,-0.8935831055163487,39.36666666666667,0.6319722121942855,10.04,13147,30,0.5140550097550672,0.020517284813342054,19.197578616347677,0.004975124378109453,0.027166666666666665,0,0.7634425514501112,0.008294155362712287,17.42126113922165,0.004975124378109453,0.0,0,0.8180588660384707,0.011743583471286713,7.6533991634224074,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,2,0.5,1.0,0.5,0.05,0.9145382016702273,0,-0.969637943733991,36.63333333333333,0.5881881421541061,10.936666666666667,13621,30,0.7160262337231219,0.012645222892162739,15.698574049662595,0.004975124378109453,0.0005,0,0.8028328527601869,0.006636810640985173,16.8311791540671,0.004975124378109453,0.0,0,0.850834475378567,0.009370278866944819,6.798487771413662,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,3,0.5,1.0,0.5,0.05,0.920688854934012,0,-0.9072027992868577,39.7,0.6069116293616381,10.503333333333334,13659,30,0.45900572977873344,0.020442506722714728,22.584467326713828,0.004975124378109453,0.07716666666666666,0,0.7810307762387325,0.0075301427189291914,18.546538081437486,0.004975124378109453,0.0,0,0.8477993766424291,0.01015757316021025,7.175875294416699,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,4,0.5,1.0,0.5,0.05,0.9288801198865493,0,-1.005204206148935,36.9,0.5977835126889767,11.983333333333333,13863,30,0.5065952074111798,0.02035299722915144,20.748045495261707,0.004975124378109453,0.043333333333333335,0,0.8291573158099281,0.00557978268830307,17.872166291649787,0.004975124378109453,0.0,0,0.867619677912442,0.008385267368739364,7.305723154694965,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,5,0.5,1.0,0.5,0.05,0.9195732359399166,0,-0.9906919125419079,36.36666666666667,0.6432150571085334,11.563333333333333,12316,30,0.5295271990416849,0.02069805710080726,18.84457246390625,0.004975124378109453,0.03333333333333333,0,0.8275269858105858,0.0063424713344122155,14.512678934773788,0.004975124378109453,0.0,0,0.8858990290006408,0.007602565511866283,4.429321508208805,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,6,0.5,1.0,0.5,0.05,0.9067505029829871,0,-0.8582319332269651,43.03333333333333,0.5188201466582153,10.836666666666666,13237,30,0.5805863215669761,0.018384008083574533,17.74173400779927,0.004975124378109453,0.0035,0,0.8014748708005248,0.007265037524640204,14.490721049328094,0.004975124378109453,0.0,0,0.8305948354493197,0.012706074294339696,5.993642549972596,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,7,0.5,1.0,0.5,0.05,0.932903848221523,0,-1.014390745892326,34.8,0.69445191039428,10.74,13159,30,0.523092503515554,0.019637927439505584,20.86836026705915,0.004975124378109453,0.0235,0,0.7856141254133965,0.007159812886597257,20.571727940522585,0.004975124378109453,0.0,0,0.8393412635585729,0.009701312934914446,9.644321886187583,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,8,0.5,1.0,0.5,0.05,0.9233117218200401,0,-0.9159016135357234,39.266666666666666,0.6158562822884693,10.336666666666666,12505,30,0.5583998214860207,0.018928556025087286,19.278380234095888,0.004975124378109453,0.018833333333333334,0,0.7885057222096159,0.006800268156820419,19.823629966006372,0.004975124378109453,0.0,0,0.8476856298003529,0.00947076897077111,7.985211364894027,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,9,0.5,1.0,0.5,0.05,0.9265885825417961,0,-1.029101807690858,36.7,0.6360762710980665,12.3,13204,30,0.5932047570887174,0.018860946893211314,17.67587954839503,0.004975124378109453,0.012333333333333333,0,0.8333972634145147,0.005733581733963898,16.253595649512754,0.004975124378109453,0.0,0,0.8560108092750847,0.009399267808776162,7.508858636926217,0.004975124378109453,0.0,0
